StationID,Longitude,Latitude,City,Cluster
1001A,116.366,39.8673,Beijing,
1002A,116.17,40.2865,Beijing,
1003A,116.434,39.9522,Beijing,
1004A,116.434,39.8745,Beijing,
1005A,116.473,39.9716,Beijing,
1006A,116.361,39.9425,Beijing,
1007A,116.315,39.9934,Beijing,
1008A,116.72,40.1438,Beijing,
1009A,116.644,40.3937,Beijing,
1010A,116.23,40.1952,Beijing,
1011A,116.407,40.0031,Beijing,
1012A,116.225,39.9279,Beijing,
1013A,117.151,39.097,Tianjin,
1014A,117.193,39.173,Tianjin,
1015A,117.145,39.1654,Tianjin,
1016A,117.184,39.1205,Tianjin,
1017A,117.237,39.1082,Tianjin,
1018A,117.202,39.0927,Tianjin,
1019A,117.1837,39.2133,Tianjin,
1020A,117.269,39.1337,Tianjin,
1021A,117.307,39.0877,Tianjin,
1023A,117.707,39.0343,Tianjin,
1024A,117.457,38.8394,Tianjin,
1025A,117.401,39.124,Tianjin,
1026A,117.764,39.1587,Tianjin,
1027A,117.157,38.9194,Tianjin,
1028A,,,Shijiazhuang,
1029A,114.4548,38.0513,Shijiazhuang,
1030A,114.6046,38.0398,Shijiazhuang,
1031A,114.5019,38.1398,Shijiazhuang,
1032A,114.4586111,38.00583333,Shijiazhuang,
1033A,114.5330556,38.01777778,Shijiazhuang,
1034A,114.5214,38.0524,Shijiazhuang,
1035A,114.3541,37.9097,Shijiazhuang,
1036A,118.1662,39.6308,Tangshan,
1037A,118.144,39.643,Tangshan,
1038A,118.1853,39.6407,Tangshan,
1039A,118.2185,39.6679,Tangshan,
1040A,118.1838,39.65782,Tangshan,
1041A,118.1997,39.6295,Tangshan,
1042A,119.5259,39.8283,Qinhuangdao,
1043A,119.7624,40.0181,Qinhuangdao,
1044A,119.6023,39.9567,Qinhuangdao,
1045A,119.607,39.9358,Qinhuangdao,
1046A,119.5369,39.9419,Qinhuangdao,
1047A,114.5129,36.61763,Handan,
1048A,114.5426,36.6164,Handan,
1049A,114.5035,36.5776,Handan,
1050A,114.4965,36.61981,Handan,
1051A,115.493,38.8632,Baoding,
1052A,115.5223,38.8957,Baoding,
1053A,115.4713,38.9108,Baoding,
1054A,115.4612,38.8416,Baoding,
1055A,115.442,38.8756,Baoding,
1056A,115.5214,38.8707,Baoding,
1057A,114.8985,40.8367,Zhangjiakou,
1058A,114.892,40.79481,Zhangjiakou,
1059A,114.8814,40.8115,Zhangjiakou,
1060A,114.9032,40.7688,Zhangjiakou,
1061A,114.904,40.8725,Zhangjiakou,
1062A,117.9664,40.9161,Chengde,
1063A,117.9525,40.9843,Chengde,
1064A,117.963,40.9359,Chengde,
1065A,117.8184,40.9733,Chengde,
1066A,117.9384,41.0112,Chengde,
1067A,116.6838,39.5178,Langfang,
1068A,116.7729,39.5747,Langfang,
1069A,116.715,39.5571,Langfang,
1070A,116.7464,39.5343,Langfang,
1071A,116.8854,38.2991,,
1072A,116.8584,38.3254,,
1073A,116.8709,38.3228,,
1074A,115.6951,37.7575,,
1075A,115.6426,37.7379,,
1076A,115.6906,37.739,,
1077A,114.4821,37.0967,,
1078A,114.5261,37.0533,,
1079A,114.5331,37.0964,,
1080A,114.4854,37.062,,
1081A,112.522,37.8873,,
1082A,112.573,37.9103,,
1083A,112.434,38.0108,,
1084A,112.469,37.7124,,
1085A,112.5583,37.7394,,
1086A,112.5369,37.8692,,
1087A,112.57,37.8195,,
1088A,112.549,37.9854,,
1089A,112.488,37.7805,,
1090A,111.651,40.7579,,
1091A,111.658,40.8033,,
1092A,111.659,40.8452,,
1093A,111.608,40.8144,,
1094A,111.751,40.8369,,
1095A,111.7277,40.8062,,
1096A,111.551,40.7866,,
1097A,111.717,40.7612,,
1098A,123.6836,41.9339,,
1099A,123.535,41.7561,,
1100A,123.439,41.7089,,
1101A,123.284,41.7694,,
1102A,123.542,41.8336,,
1103A,123.428,41.8472,,
1104A,123.41,41.765,,
1105A,123.478,41.7775,,
1106A,123.3997,41.7972,,
1107A,123.3606,41.7806,,
1108A,123.3783,41.9228,,
1109A,121.6119444,38.97388889,,
1110A,121.565,38.95111111,,
1111A,121.5638889,38.885,,
1112A,121.6330556,38.91194444,,
1113A,121.625,38.86388889,,
1114A,121.5180556,38.85611111,,
1115A,121.2588889,38.80805556,,
1116A,121.7481,39.1311,,
1117A,121.7769,39.0511,,
1118A,121.9769,39.0631,,
1119A,125.323,43.9167,,
1120A,125.287,43.91,,
1121A,125.2786,43.84,,
1122A,125.3649,43.8748,,
1123A,125.325,43.8694,,
1124A,125.454,43.7878,,
1125A,125.633,43.55,,
1126A,125.417,43.8667,,
1127A,125.25,43.8167,,
1128A,125.217,43.85,,
1129A,126.542,45.755,,
1130A,126.561,45.8167,,
1131A,126.979,45.5422,,
1132A,126.599,45.7222,,
1133A,126.689,45.7733,,
1134A,126.635,45.7667,,
1135A,126.685,45.7319,,
1136A,126.646,45.7258,,
1137A,126.593,45.7478,,
1138A,126.615,45.61,,
1139A,126.6106,45.9819,,
1140A,126.6206,45.6842,,
1142A,121.478,31.2036,,
1143A,121.467,31.3008,,
1144A,121.412,31.1654,,
1145A,121.536,31.2659,,
1146A,120.978,31.0935,,
1147A,121.425,31.2261,,
1148A,121.703,31.1907,,
1149A,121.533,31.2284,,
1150A,121.577,31.2071,,
1151A,118.803,32.1083,,
1152A,118.749,32.0572,,
1153A,118.778,32.0723,,
1154A,118.777,32.0144,,
1155A,118.803,32.0314,,
1156A,118.795,32.0775,,
1157A,118.626,32.0878,,
1158A,118.737,32.0092,,
1159A,118.907,32.105,,
1160A,120.561,31.2472,,
1161A,120.628,31.2864,,
1162A,120.591,31.3019,,
1163A,120.596,31.3264,,
1164A,120.613,31.2703,,
1165A,120.543,31.2994,,
1166A,120.669,31.3097,,
1167A,120.641,31.3708,,
1168A,120.913,31.96,,
1169A,120.86,32.0005,,
1170A,120.87,32.02,,
1171A,120.94,31.93,,
1172A,120.81,32.0417,,
1173A,119.176,34.5885,,
1174A,119.141,34.5896,,
1175A,119.368,34.7507,,
1176A,119.348,34.6984,,
1177A,117.167,34.2761,,
1178A,117.192,34.2417,,
1179A,117.192,34.3083,,
1180A,117.256,34.2153,,
1181A,117.244,34.2911,,
1182A,117.2933,34.2778,,
1183A,117.166,34.1806,,
1184A,119.46,32.3878,,
1185A,119.404,32.41,,
1186A,119.389,32.3761,,
1187A,119.439,32.4033,,
1188A,120.269,31.4867,,
1189A,120.275,31.6219,,
1190A,120.294,31.56,,
1191A,120.242,31.5031,,
1192A,120.354,31.5848,,
1193A,120.354,31.5475,,
1194A,120.245,31.5631,,
1195A,120.288,31.6842,,
1196A,119.996,31.7586,,
1197A,119.933,31.7786,,
1198A,119.962,31.8089,,
1199A,120.0393,31.7638,,
1200A,119.935,31.7039,,
1201A,119.905,31.9108,,
1202A,,,,
1203A,119.68,32.1883,,
1204A,119.491,32.215,,
1205A,119.43,32.1319,,
1206A,119.9,32.4867,,
1207A,119.9219,32.4611,,
1208A,119.882,32.303,,
1209A,119.888,32.4639,,
1210A,119.036,33.5981,,
1211A,119.007,33.575,,
1212A,118.989,33.6067,,
1213A,119.135,33.5039,,
1214A,119.0122,33.627,,
1215A,120.118,33.4022,,
1216A,120.156,33.3942,,
1217A,120.129,33.3719,,
1218A,120.225,33.3947,,
1219A,118.2658,33.96,,
1220A,118.293,33.9528,,
1221A,118.2442,33.9592,,
1222A,118.3214,33.9506,,
1223A,120.211,30.21,Hangzhou,
1224A,120.063,30.2747,Hangzhou,
1225A,119.026,29.635,Hangzhou,
1226A,120.348,30.3058,Hangzhou,
1227A,120.127,30.2456,Hangzhou,
1228A,120.19,30.2692,Hangzhou,
1229A,120.157,30.2897,Hangzhou,
1230A,120.12,30.3119,Hangzhou,
1231A,120.301,30.4183,Hangzhou,
1232A,120.27,30.1819,Hangzhou,
1233A,120.088,30.1808,Hangzhou,
1234A,121.836,29.9108,,
1235A,121.56,29.8208,,
1236A,121.713,29.9572,,
1237A,121.554,29.8906,,
1238A,,,,
1239A,121.633,29.7736,,
1240A,121.586,29.8633,,
1241A,121.524,29.8506,,
1242A,120.634,28.0089,,
1243A,120.677,27.9939,,
1244A,120.76,27.9747,,
1245A,120.671,28.0167,,
1246A,120.598,30.0911,,
1247A,120.605,29.9919,,
1248A,120.576,30.007,,
1249A,120.1,30.8867,,
1250A,120.07,30.8244,,
1251A,120.093,30.8617,,
1252A,120.744,30.7946,,
1253A,120.726,30.7478,,
1254A,,,,
1255A,121.273,28.6459,,
1256A,121.419,28.6542,,
1257A,121.377,28.5773,,
1258A,122.122,30.0203,,
1259A,122.3094,29.9558,,
1260A,122.19,29.9944,,
1261A,119.649,29.1131,,
1262A,119.647,29.077,,
1263A,119.686,29.1029,,
1264A,118.871,28.9404,,
1265A,118.871,28.9664,,
1266A,118.855,28.9745,,
1267A,119.914,28.4514,,
1268A,119.93,28.4586,,
1269A,119.879,28.4231,,
1270A,117.196,31.7848,,
1271A,117.307,31.8766,,
1272A,117.259,31.8706,,
1273A,117.16,31.9051,,
1274A,117.25,31.8572,,
1275A,117.266,31.9438,,
